# Thanh phan 11 sector SPDR - CHEP TAY, KHONG scrape.
#
# as_of=2025-06-30
#
# Vi sao mot file CSV tinh committed vao repo chu khong scrape moi dem:
#   - Trang holdings cua ssga.com khong co API on dinh; scrape se vo im lang
#     vao mot dem nao do va Stage 3 se tra ve danh sach rong ma khong ai biet
#     tai sao. Mot file tinh thi sai mot cach ON DINH va KIEM DUOC.
#   - Thanh phan sector doi vai lan mot nam, khong phai moi ngay. Danh mot
#     phu thuoc mang vao thu doi 4 lan/nam la sai ty le.
#   - Danh sach nay la dau vao cua MOI thu Stage 3 lam. Nen no phai nam trong
#     git, co lich su, review duoc - chu khong phai mot thu tai ve luc 08:00.
#
# GIOI HAN PHAI BIET: danh sach nay chep tay tu hieu biet ve cac ETF, KHONG
# phai tai tu file chinh thuc. Co the thieu ma moi vao ro, con ma da bi loai,
# hoac gan sai sector cho mot cong ty vua duoc phan loai lai. `holdings.py
# --check` kiem duoc DINH DANG (trung ma, sector la, ma khong co nen) nhung
# KHONG kiem duoc tinh dung dan. Xem README muc "lam moi holdings".
#
# Quy uoc ma: theo yfinance - dau GACH NGANG chu khong phai dau cham
# (BRK-B, khong phai BRK.B). Sai cho nay thi ma do khong co nen va bi loai im.
#
sector,sym
XLK,AAPL
XLK,MSFT
XLK,NVDA
XLK,AVGO
XLK,ORCL
XLK,CRM
XLK,AMD
XLK,ADBE
XLK,ACN
XLK,CSCO
XLK,INTU
XLK,TXN
XLK,QCOM
XLK,NOW
XLK,IBM
XLK,AMAT
XLK,MU
XLK,LRCX
XLK,ADI
XLK,KLAC
XLK,PANW
XLK,SNPS
XLK,CDNS
XLK,MSI
XLK,APH
XLK,INTC
XLF,BRK-B
XLF,JPM
XLF,V
XLF,MA
XLF,BAC
XLF,WFC
XLF,GS
XLF,MS
XLF,SPGI
XLF,BLK
XLF,AXP
XLF,C
XLF,SCHW
XLF,CB
XLF,PGR
XLF,MMC
XLF,PNC
XLF,USB
XLF,AON
XLF,ICE
XLF,CME
XLF,COF
XLF,TFC
XLF,AIG
XLF,MET
XLE,XOM
XLE,CVX
XLE,COP
XLE,EOG
XLE,SLB
XLE,MPC
XLE,PSX
XLE,VLO
XLE,WMB
XLE,OKE
XLE,KMI
XLE,HES
XLE,OXY
XLE,BKR
XLE,FANG
XLE,HAL
XLE,DVN
XLE,TRGP
XLE,CTRA
XLE,APA
XLE,EQT
XLV,LLY
XLV,UNH
XLV,JNJ
XLV,ABBV
XLV,MRK
XLV,TMO
XLV,ABT
XLV,DHR
XLV,AMGN
XLV,PFE
XLV,ISRG
XLV,BSX
XLV,SYK
XLV,VRTX
XLV,MDT
XLV,BMY
XLV,GILD
XLV,CI
XLV,ELV
XLV,CVS
XLV,REGN
XLV,ZTS
XLV,HCA
XLV,MCK
XLI,GE
XLI,CAT
XLI,RTX
XLI,UNP
XLI,HON
XLI,UBER
XLI,BA
XLI,LMT
XLI,DE
XLI,ADP
XLI,UPS
XLI,ETN
XLI,WM
XLI,NOC
XLI,CSX
XLI,GD
XLI,FDX
XLI,NSC
XLI,EMR
XLI,ITW
XLI,PH
XLI,MMM
XLI,TT
XLI,CARR
XLY,AMZN
XLY,TSLA
XLY,HD
XLY,MCD
XLY,LOW
XLY,BKNG
XLY,TJX
XLY,NKE
XLY,SBUX
XLY,CMG
XLY,ORLY
XLY,ABNB
XLY,MAR
XLY,GM
XLY,F
XLY,HLT
XLY,AZO
XLY,ROST
XLY,DHI
XLY,LEN
XLY,YUM
XLY,LVS
XLY,EBAY
XLP,PG
XLP,COST
XLP,WMT
XLP,KO
XLP,PEP
XLP,PM
XLP,MO
XLP,MDLZ
XLP,CL
XLP,TGT
XLP,KMB
XLP,GIS
XLP,SYY
XLP,STZ
XLP,KDP
XLP,KHC
XLP,HSY
XLP,ADM
XLP,EL
XLP,CHD
XLP,MNST
XLP,KR
XLU,NEE
XLU,SO
XLU,DUK
XLU,CEG
XLU,AEP
XLU,SRE
XLU,D
XLU,PCG
XLU,EXC
XLU,XEL
XLU,ED
XLU,PEG
XLU,WEC
XLU,EIX
XLU,AWK
XLU,DTE
XLU,PPL
XLU,AEE
XLU,FE
XLU,ETR
XLU,ES
XLU,CNP
XLB,LIN
XLB,SHW
XLB,APD
XLB,ECL
XLB,FCX
XLB,NEM
XLB,DOW
XLB,DD
XLB,PPG
XLB,NUE
XLB,VMC
XLB,MLM
XLB,CTVA
XLB,IFF
XLB,LYB
XLB,ALB
XLB,STLD
XLB,PKG
XLB,IP
XLB,AMCR
XLRE,PLD
XLRE,AMT
XLRE,EQIX
XLRE,WELL
XLRE,SPG
XLRE,PSA
XLRE,O
XLRE,CCI
XLRE,DLR
XLRE,VICI
XLRE,EXR
XLRE,AVB
XLRE,CBRE
XLRE,IRM
XLRE,EQR
XLRE,VTR
XLRE,SBAC
XLRE,ARE
XLRE,MAA
XLRE,UDR
XLC,META
XLC,GOOGL
XLC,GOOG
XLC,NFLX
XLC,TMUS
XLC,DIS
XLC,CMCSA
XLC,VZ
XLC,T
XLC,CHTR
XLC,EA
XLC,TTWO
XLC,OMC
XLC,IPG
XLC,LYV
XLC,WBD
XLC,NWSA
XLC,FOXA
XLC,MTCH
